"BEA_389_code","BEA_389_def","Location","2012_US_Consumption","2012_US_Production"
"1111A0","Fresh soybeans, canola, flaxseeds, and other oilseeds","US",0,17661617106.1787
"1111B0","Fresh wheat, corn, rice, and other grains","US",2051397284.51526,8145447394.49301
"111200","Fresh vegetables, melons, and potatoes","US",19693313812.963,12180519755.6176
"111300","Fresh fruits and tree nuts","US",19668538830.5301,8964640749.28654
"111400","Greenhouse crops, mushrooms, nurseries, and flowers","US",9726771287.39316,8246206784.18804
"111900","Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops","US",3253544493.96732,5642671570.09707
"112120","Dairies","US",140362667.18762,266689067.656478
"1121A0","Cattle ranches and feedlots","US",79001925.0926579,-1346110723.65672
"112300","Poultry farms","US",5608998102.4988,5973718899.9553
"112A00","Animal farms and aquaculture ponds (except cattle and poultry)","US",8166480303.71634,6744204938.8736
"113000","Timber and raw forest products","US",0,-1770309778.21675
"114000","Wild-caught fish and game","US",5738460179.83875,-2167195445.03835
"115000","Agriculture and forestry support","US",281734270.944908,218782657.290551
"211000","Unrefined oil and gas","US",0,-348007210181.216
"212100","Coal","US",68725246.5801057,8734787936.86871
"212230","Copper, nickel, lead, and zinc","US",0,3092892534.25037
"2122A0","Iron, gold, silver, and other metal ores","US",236646932.74309,9756307636.27194
"212310","Dimensional stone","US",0,278144835.358683
"2123A0","Sand, gravel, clay, phosphate, other nonmetallic minerals","US",64601528.7345475,701532226.101727
"213111","Well drilling","US",48426582214.7651,48430656040.2685
"21311A","Other support activities for mining","US",111417613527.279,113360362327.353
"221100","Electricity","US",169227026679.768,169363862911.723
"221200","Natural gas","US",46665177855.3122,47107461889.6858
"221300","Drinking water and wastewater treatment","US",36376640798.4861,36984449851.7911
"230301","Nonresidential maintenance and repair","US",0,84563382.2181485
"230302","Residential maintenance and repair","US",0,16334091.8416831
"233210","Health care structures","US",47211637944.8921,47211637944.8921
"233230","Manufacturing structures","US",50026527395.3303,50026527395.3303
"233240","Power and communication structures","US",114992248014.704,114992248014.704
"233262","Educational and vocational structures","US",82929508883.5002,82929508883.5002
"233293","Highways and streets","US",125229431350.248,125229431350.248
