"category","commodity","n_stages_reduced","stage_reduced","impact","baseline_impact","impact_norm"
"impact potential/gcc/kg co2 eq","cereals",1,"L2",1077393324449.85,1085818578948.76,0.992240642532508
"impact potential/gcc/kg co2 eq","cereals",2,"L5",1071604337251.48,1085818578948.76,0.986909192775981
"impact potential/gcc/kg co2 eq","cereals",3,"L4a",1067335284366.96,1085818578948.76,0.982977548054391
"impact potential/gcc/kg co2 eq","cereals",4,"L1",1066925136350.41,1085818578948.76,0.982599816429148
"impact potential/gcc/kg co2 eq","cereals",5,"L3",1066516485970.63,1085818578948.76,0.982223464073694
"impact potential/gcc/kg co2 eq","cereals",6,"L4b",1066463718480.88,1085818578948.76,0.982174867106602
"resource use/land/m2*yr","cereals",1,"L2",3467875742814.02,3495579535585.16,0.992074620963673
"resource use/land/m2*yr","cereals",2,"L5",3451751925406.74,3495579535585.16,0.987461990284515
"resource use/land/m2*yr","cereals",3,"L4a",3446630367272.23,3495579535585.16,0.985996837487282
"resource use/land/m2*yr","cereals",4,"L1",3445835170350.92,3495579535585.16,0.985769351053856
"resource use/land/m2*yr","cereals",5,"L3",3445629195392.22,3495579535585.16,0.985710426644726
"resource use/land/m2*yr","cereals",6,"L4b",3445538309972.46,3495579535585.16,0.985684426544076
"resource use/watr/m3","cereals",1,"L2",129353234159.07,130673663100.06,0.989895217523835
"resource use/watr/m3","cereals",2,"L5",128520918273.59,130673663100.06,0.983525794139394
"resource use/watr/m3","cereals",3,"L4a",128202554915.117,130673663100.06,0.981089470316214
"resource use/watr/m3","cereals",4,"L1",128166395495.611,130673663100.06,0.980812754881375
"resource use/watr/m3","cereals",5,"L3",128137979129.128,130673663100.06,0.98059529433264
"resource use/watr/m3","cereals",6,"L4b",128134551531.045,130673663100.06,0.980569064119136
"resource use/enrg/mj","cereals",1,"L2",10821052960535.4,10893784974797.3,0.993323531313478
"resource use/enrg/mj","cereals",2,"L4a",10764366555318.8,10893784974797.3,0.988119976685977
"resource use/enrg/mj","cereals",3,"L5",10713529831899.9,10893784974797.3,0.983453396288399
